source,author,title,description,category1,coverage,url
CBS News,"Gina Martinez, Alex Sundby",Taylor Swift returns to Arrowhead stadium to cheer on Travis Kelce,This is the fifth time Swift has been seen cheering on Kansas Chiefs tight end Travis Kelce and the defending Super Bowl champions.,Relationship,,https://www.cbsnews.com/news/taylor-swift-back-at-arrowhead-stadium-cheering-kansas-city-chiefs-travis-kelce/
CBS News,"Meredith Gordon, Fox Van Allen",How to watch every Kansas City Chiefs game this season,We've got all the information you need to watch every Chiefs game this season (even the one that isn't on network TV).,Relationship,,https://www.cbsnews.com/essentials/how-to-watch-every-kansas-city-chiefs-game-season/
CNN,Lisa Respers France,Travis Kelce spills on his NYC weekend with Taylor Swift,At least we can now definitely say Travis Kelce has been going out on dates with Taylor Swift.,Relationship,,https://www.cnn.com/2023/10/19/entertainment/travis-kelce-taylor-swift-weekend/index.html
CNN,Lisa Respers France,Taylor Swift kissing Travis Kelce is the latest thing to have Swifties excited,A photo showing Taylor Swift sweetly kissing Travis Kelce has caused some excitement among her die hard fan base.,Relationship,,https://www.cnn.com/2023/10/24/entertainment/taylor-swift-kissing-travis-kelce/index.html
CNN,Lisa Respers France,Kristin Cavallari wasn't 'shooting her shot' at Travis Kelce,Kristin Cavallari wants to clear something up about Travis Kelce.,Relationship,,https://www.cnn.com/2023/10/18/entertainment/kristin-cavallari-travis-kelce/index.html
CNN,Alli Rosenbloom,Nate Bargatze to make 'SNL' hosting debut with musical guest Foo Fighters,"Comedian Nate Bargatze is set to take the ""Saturday Night Live"" stage on October 28 in his hosting debut, the long-running sketch show announced on Tuesday. The Foo Fighters will serve as the episode's musical guest.",Relationship,,https://www.cnn.com/2023/10/17/entertainment/nate-bargatze-foo-fighters-snl/index.html
Fox News,Maeghan Dolph,A timeline of Taylor Swift and Travis Kelce's budding romance,"A timeline of the speculated romantic link between Taylor Swift and Kansas City Chiefs football player Travis Kelce, beginning in July when Kelce attended a Swift concert.",Relationship,,https://www.foxnews.com/entertainment/timeline-taylor-swift-travis-kelces-romance
Fox News,Tracy Wright,Taylor Swift feels 'protected and cherished' by 'true gentleman' Travis Kelce: expert,"Taylor Swift and Travis Kelce have a ""strong love connection"" after showing public displays of affection on date nights in New York, according to body language expert.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-feels-protected-cherished-by-true-gentleman-travis-kelce-expert
Fox News,Elizabeth Stanton,Taylor Swift supports Travis Kelce with rare social media move,"Taylor Swift liked an Instagram post about Travis Kelce's performance from his game in Germany on Sunday, sending fans into a frenzy over the public act of support.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-supports-travis-kelce-rare-social-media-move
Fox News,Lauryn Overhultz,Taylor Swift kisses Travis Kelce following Kansas City Chiefs game,Taylor Swift and Travis Kelce's romance heats up as a new photo of the pop star kissing the NFL tight end's cheek surfaced after she attended Sunday's Kansas City Chiefs game.,Relationship,,https://www.foxnews.com/entertainment/taylor-swift-kisses-travis-kelce-following-kansas-city-chiefs-game
Fox News,Tracy Wright,"Taylor Swift, Travis Kelce break NFL WAG curse: Jessica Simpson, Carrie Underwood once blamed for losses",Taylor Swift and Travis Kelce's new relationship fills the blank space that the NFL needs to recover from the alleged curse when Hollywood stars date football players.,Relationship,,https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-break-nfl-wag-curse-jessica-simpson-carrie-underwood-once-blamed-losses
Fox News,Paulina Dedaj,Eagles' Jason Kelce expresses concern for brother Travis Kelce amid budding romance with Taylor Swift,"Jason Kelce is ""happy"" for brother Travis Kelce amid his budding romance with pop sensation Taylor Swift, but he does have one possible concern.",Relationship,,https://www.foxnews.com/sports/eagles-jason-kelce-expresses-concern-brother-travis-kelce-budding-romance-taylor-swift
Fox News,Lori Bashian,"Taylor Swift and Travis Kelce, Gwen Stefani and Blake Shelton bring the romance: PHOTOS","Taylor Swift and Travis Kelce were spotted together at a ""Saturday Night Live"" after-party, and Blake Shelton supported Gwen Stefani at her Hollywood Walk of Fame ceremony.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-gwen-stefani-blake-shelton-bring-romance-photos
Fox News,Ryan Morik,Taylor Swift watches football with former NFL quarterback Bernie Kosar before attending Chiefs game,"Taylor Swift is back at Arrowhead Stadium to catch her rumored beau Travis Kelce, but before attending the game, she watched the early games with Bernie Kosar.",Relationship,,https://www.foxnews.com/sports/taylor-swift-watches-football-former-nfl-quarterback-bernie-kosar-before-attending-chiefs-game
Fox News,Tracy Wright,Taylor Swift sports Travis Kelce's football jersey number on friendship bracelet at Chiefs game,Taylor Swift showed NFL fans how to support a player by wearing Travis Kelce's football jersey number on a friendship bracelet while watching Chiefs game.,Relationship,,https://www.foxnews.com/entertainment/taylor-swift-sports-travis-kelces-football-jersey-number-friendship-bracelet-chiefs-game
Fox News,Ryan Gaydos,Travis Kelce faces jabs after another quiet game without Taylor Swift in attendance,Kansas City Chiefs tight end Travis Kelce faced some ribbing on social media as he had another quiet game with Taylor Swift not in attendance.,Relationship,,https://www.foxnews.com/sports/travis-kelce-faces-jabs-another-quiet-game-without-taylor-swift-attendance
Fox News,Ryan Gaydos,"Travis Kelce, Taylor Swift budding relationship draws wholesome remark from Andy Reid",Kansas City Chiefs head coach Andy Reid remarked on Travis Kelce's relationship with Taylor Swift as he spent his bye week in Argentina to see the pop star.,Relationship,,https://www.foxnews.com/sports/travis-kelce-taylor-swift-budding-relationship-draws-wholesome-remark-andy-reid
Fox News,Scott Thompson,Simone Biles will try to meet Taylor Swift at Chiefs-Packers game later this season,"Simone Biles, the most decorated gymnast in history, is hoping to meet Taylor Swift at the Kansas City Chiefs-Green Bay Packers game later this season.",Relationship,,https://www.foxnews.com/sports/simone-biles-try-meet-taylor-swift-chiefs-packers-game
Fox News,Lauryn Overhultz,Drew Barrymore thanks Taylor Swift for inspiring her to start dating again after years of celibacy,"Drew Barrymore is ready to ""Begin Again"" after being inspired by Taylor Swift's decision to publicly date NFL star Travis Kelce. Swift attended the Chiefs game Oct. 22.",Relationship,,https://www.foxnews.com/entertainment/drew-barrymore-thanks-taylor-swift-inspiring-start-dating-again-years-celibacy
Fox News,Ryan Morik,Travis Kelce's big day with Taylor Swift in attendance helps Chiefs to huge win over Chargers,"Travis Kelce had a dominant performance with his rumored girlfriend, Taylor Swift, in the building during the Kansas City Chiefs' big win on Sunday.",Relationship,,https://www.foxnews.com/sports/travis-kelces-big-day-taylor-swift-attendance-helps-chiefs-huge-win-chargers
Fox News,Scott Thompson,"Taylor Swift, Brittany Mahomes show off new handshakes amid monster half for Patrick Mahomes, Travis Kelce","Taylor Swift and Brittany Mahomes, the wife of star quarterback Patrick Mahomes, showcased their new touchdown handshake as their budding friendship continues.",Relationship,,https://www.foxnews.com/sports/taylor-swift-brittany-mahomes-show-off-new-handshake-monster-half-patrick-mahomes-travis-kelce
Fox News,Ashley Hume,Taylor Swift runs to kiss Travis Kelce after he attends her second Eras show in Argentina,Taylor Swift and Travis Kelce shared a kiss after the singer rushed into the NFL star's arms following her second Eras tour concert in Argentina.,Relationship,,https://www.foxnews.com/entertainment/taylor-swift-runs-kiss-travis-kelce-attends-her-second-eras-show-argentina
Fox News,Ryan Morik,"Travis Kelce asked if he's 'in love' with Taylor Swift, addresses relationship 'status'","Travis Kelce and Taylor Swift are all but officially official, which prompted a reporter in Germany to ask the Chiefs star if he's ""in love.""",Relationship,,https://www.foxnews.com/sports/travis-kelce-asked-in-love-taylor-swift-addresses-relationship-status
Fox News,Caroline Thayer,"Taylor Swift, Selena Gomez, Brittany Mahomes spotted in NYC ahead of Travis Kelce's game in Germany","Taylor Swift, Selena Gomez, Sophie Turner and Gigi Hadid were spotted with Brittany Mahomes outside a New York City restaurant Saturday.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-selena-gomez-brittany-mahomes-spotted-nyc-ahead-travis-kelce-game-germany
Fox News,Caroline Thayer,Travis Kelce plays into joke that Taylor Swift 'put me on the map',"Travis Kelce is getting in on the joke that Taylor Swift put him ""on the map."" The narrative even inspired a couple's Halloween costume, which Kelce ""enjoyed.""",Relationship,,https://www.foxnews.com/entertainment/travis-kelce-plays-into-joke-taylor-swift-put-me-on-map
Fox News,Ryan Morik,Patrick Mahomes wants to 'one-up' Taylor Swift and his wife's handshake with Travis Kelce,"When Taylor Swift and Patrick Mahomes' wife went viral for their two handshakes, the quarterback realized he didn't have one with Travis Kelce.",Relationship,,https://www.foxnews.com/sports/patrick-mahomes-one-up-taylor-swifts-his-wifes-handshake-travis-kelce
Fox News,Scott Thompson,Travis Kelce expecting another Taylor Swift sighting at Chiefs game: report,Travis Kelce is reportedly expecting Taylor Swift to be in attendance for the Kansas City Chiefs' game against the Los Angeles Chargers on Sunday,Relationship,,https://www.foxnews.com/sports/travis-kelce-expecting-another-taylor-swift-sighting-chiefs-game
Fox News,Caroline Thayer,"Taylor Swift, Travis Kelce meet the parents: Who's who in each famous family","As Taylor Swift and Travis Kelce's relationship continues to grow, they have been spotted spending time with each other's parents, who appear to be supportive of the romance.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-meet-parents-whos-who-each-famous-family
Fox News,Paulina Dedaj,Patrick Mahomes' mother gushes over Taylor Swift after pop star meets quarterback's little sister,The mother of Kansas City Chiefs quarterback Patrick Mahomes gushed over Taylor Swift on social media Monday as dating rumors between the pop star and Travis Kelce continue to heat up.,Relationship,,https://www.foxnews.com/sports/patrick-mahomes-mother-gushes-taylor-swift-pop-star-meets-quarterbacks-little-sister
Fox News,Ryan Gaydos,"Travis, Jason Kelce joke about Taylor Swift meeting their dad; Chiefs star denies security guard push",Travis and Jason Kelce poked fun at their father as he was seen talking to Taylor Swift in the suite at Arrowhead Stadium while the Chiefs played the Broncos.,Relationship,,https://www.foxnews.com/sports/travis-jason-kelce-joke-taylor-swift-meeting-their-dad-chiefs-star-denies-security-guard-push
Fox News,Lauryn Overhultz,"Taylor Swift, Travis Kelce's PDA signals NFL player is 'endgame' for pop star: expert","Taylor Swift and Travis Kelce took their relationship public during the ""Karma"" singer's ""Eras Tour"" with new lyrics and a kiss. Experts explain the change in Swift's stance on privacy.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-travis-kelces-pda-signals-nfl-player-engame-pop-star-expert
Fox News,Lauryn Overhultz,Taylor Swift fans go wild as she sings about 'falling in love again' while kicking off international tour,"Taylor Swift shocked fans Thursday by singing about ""falling in love again"" amid her romance with NFL star Travis Kelce. The pop star performed ""Labyrinth"" in Buenos Aires for the first time on her Eras Tour.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-fans-go-wild-sings-falling-love-again-kicking-off-international-tour
Fox News,Caroline Thayer,Taylor Swift secures Travis Kelce's dad's stamp of approval in glowing review: 'Very special',Taylor Swift seemingly earned a stamp up of approval from new beau Travis Kelce's father. Ed Kelce shared insight into his relationship with the pop star in a new interview.,Relationship,,https://www.foxnews.com/entertainment/taylor-swift-secures-travis-kelces-dads-stamp-approval-glowing-review
Fox News,Caroline Thayer,Travis Kelce issues apology to Taylor Swift's dad Scott after concert flub,"Travis Kelce spilled on his trip to Argentina to visit girlfriend Taylor Swift and hilariously apologized to her father, Scott, for an awkward flub he made during the concert.",Relationship,,https://www.foxnews.com/entertainment/travis-kelce-issues-apology-taylor-swifts-dad-scott-concert-flub
Fox News,Tracy Wright,"Taylor Swift and Travis Kelce relationship works because ‘they’re very supportive of each other,’ his dad says","Taylor Swift will soon release her next re-recorded album, and Travis Kelce's dad will be in line to purchase as he boasted that the ""Cruel Summer"" singer is ""very genuine.""",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-relationship-works-very-supportive-each-other
Fox News,Paulina Dedaj,Travis Kelce and Taylor Swift exit Chiefs’ stadium hand-in-hand after dominant win over Chargers,Kansas City Chiefs tight end Travis Kelce and rumored girlfriend Taylor Swift left Arrowhead Stadium Sunday night hand-in-hand after a dominant win over the Los Angeles Chargers.,Relationship,,https://www.foxnews.com/sports/travis-kelce-taylor-swift-exit-chiefs-stadium-hand-in-hand-dominant-win-chargers
Fox News,Tracy Wright,Taylor Swift parties with Jackson Mahomes as fans plead for her safety: 'Get her out of that box',"Taylor Swift and Brittany Mahomes cheered on the Kansas City Chiefs, but fans weren't happy to see suite celebrations with Jackson Mahomes who is accused of alleged sex crimes.",Relationship,,https://www.foxnews.com/entertainment/taylor-swift-parties-jackson-mahomes-fans-plead-safety-get-out-box
Fox News,Scott Thompson,Travis Kelce's mom explains why Chiefs star has taken game to 'new level' amid Taylor Swift relationship,"Travis Kelce's relationship with Taylor Swift led some to believe he wouldn't perform well for the Chiefs this season, but his mother, Donna Kelce, explained why it motivates him more.",Relationship,,https://www.foxnews.com/sports/travis-kelces-mom-explains-why-chiefs-star-taken-game-new-level-amid-taylor-swift-relationship
