url,Dun,anto,adrien,ethan
https://apnews.com/live/election-2023-live-updates,Neutral,,Neutral,
https://www.breitbart.com/politics/2023/10/31/report-nj-democrat-gov-phil-murphy-spent-taxpayer-money-taylor-swift-concert-other-events/,Negative,,Negative,
https://www.breitbart.com/latin-america/2023/11/10/argentina-socialists-weaponize-taylor-swift-against-conservative-presidential-frontrunner/,Neutral,,Neutral,
https://www.nbcnews.com/news/morning-rundown-november-8-rcna124135,Neutral,,Neutral,
https://www.newsweek.com/israel-asks-taylor-swift-help-roni-eshel-hamas-missing-person-1841408,Neutral,,Neutral,
https://www.buzzfeed.com/mjs538/travis-kelces-old-tweets,Neutral,Neutral,,Neutral
https://fortune.com/2023/11/07/gannett-usa-today-taylor-swift-report-bryan-west/,Neutral,,Positive,
https://www.nbcnews.com/pop-culture/taylor-swift-reporter-online-discourse-rcna124083,Neutral,,Neutral,
https://www.nbcnews.com/pop-culture/pop-culture-news/usa-today-hires-taylor-swift-reporter-rcna123987,Neutral,,Neutral,
https://www.businessinsider.com/celebrity-species-named-eponyms-nomenclature-taxonomy,Positive,,Positive,
https://www.breitbart.com/entertainment/2023/10/21/rap-group-death-grips-end-concert-when-fans-wont-stop-throwing-glow-sticks-at-them/,Neutral,,Neutral,
https://bleacherreport.com/articles/10095509-tom-brady-josh-allen-reveal-michael-jordan-lebron-james-and-more-audible-code-words,Neutral,Positive,,Positive
https://bleacherreport.com/articles/10097217-fantasy-football-big-board-complete-2023-ppr-player-rankings-for-week-11,Neutral,Neutral,,Positive
https://www.cbsnews.com/essentials/how-to-watch-todays-los-angeles-chargers-vs-kansas-city-chiefs-game-2023-10-22/,Neutral,Positive,,Positive
https://www.cbsnews.com/essentials/how-to-watch-the-new-orleans-saints-vs-indianapolis-colts-game-2023-10-29/,Neutral,Positive,,Positive
https://www.cbsnews.com/essentials/how-to-watch-jacksonville-jaguars-vs-new-orleans-saints-game-2023-10-19/,Neutral,Positive,,Positive
https://www.cbsnews.com/essentials/how-to-watch-the-new-york-jets-vs-ny-giants-game-2023-10-29/,Neutral,Positive,,Positive
https://www.cbsnews.com/essentials/how-to-watch-the-washington-commanders-vs-ny-giants-game-2023-10-22/,Neutral,Positive,,Positive
https://www.cbsnews.com/essentials/how-to-watch-the-los-angeles-rams-vs-dallas-cowboys-game-2023-10-29/,Neutral,Positive,,Positive
https://www.foxsports.com/stories/nfl/taylor-swift-attends-chiefs-chargers-game-at-arrowhead-stadium,Positive,Positive,,Positive
https://www.foxsports.com/stories/nfl/chiefs-want-to-be-worlds-team-behind-star-power-super-bowl-success,Neutral,Positive,,Positive
https://www.foxsports.com/stories/nfl/taylor-swift-effect-chiefs-5-0-4-1-ats-since-star-began-attending-travis-kelce-games,Neutral,Positive,,Positive
https://www.foxsports.com/stories/nfl/chiefs-travis-kelce-responds-to-andy-reids-comments-on-impact-of-taylor-swift,Positive,Positive,,Positive
