source,author,title,description,category,coverage,url
CNN,Lisa Respers France,Taylor Swift kissing Travis Kelce is the latest thing to have Swifties excited,A photo showing Taylor Swift sweetly kissing Travis Kelce has caused some excitement among her die hard fan base.,Dating,,https://www.cnn.com/2023/10/24/entertainment/taylor-swift-kissing-travis-kelce/index.html
CNN,Lisa Respers France,Kristin Cavallari wasn't 'shooting her shot' at Travis Kelce,Kristin Cavallari wants to clear something up about Travis Kelce.,Dating,,https://www.cnn.com/2023/10/18/entertainment/kristin-cavallari-travis-kelce/index.html
CNN,Alli Rosenbloom,Nate Bargatze to make 'SNL' hosting debut with musical guest Foo Fighters,"Comedian Nate Bargatze is set to take the ""Saturday Night Live"" stage on October 28 in his hosting debut, the long-running sketch show announced on Tuesday. The Foo Fighters will serve as the episode's musical guest.",Dating,,https://www.cnn.com/2023/10/17/entertainment/nate-bargatze-foo-fighters-snl/index.html
Fox News,Maeghan Dolph,A timeline of Taylor Swift and Travis Kelce's budding romance,"A timeline of the speculated romantic link between Taylor Swift and Kansas City Chiefs football player Travis Kelce, beginning in July when Kelce attended a Swift concert.",Dating,,https://www.foxnews.com/entertainment/timeline-taylor-swift-travis-kelces-romance
Fox News,Tracy Wright,Taylor Swift feels 'protected and cherished' by 'true gentleman' Travis Kelce: expert,"Taylor Swift and Travis Kelce have a ""strong love connection"" after showing public displays of affection on date nights in New York, according to body language expert.",Dating,,https://www.foxnews.com/entertainment/taylor-swift-feels-protected-cherished-by-true-gentleman-travis-kelce-expert
Fox News,Elizabeth Stanton,Taylor Swift supports Travis Kelce with rare social media move,"Taylor Swift liked an Instagram post about Travis Kelce's performance from his game in Germany on Sunday, sending fans into a frenzy over the public act of support.",Dating,,https://www.foxnews.com/entertainment/taylor-swift-supports-travis-kelce-rare-social-media-move
Fox News,Lauryn Overhultz,Taylor Swift kisses Travis Kelce following Kansas City Chiefs game,Taylor Swift and Travis Kelce's romance heats up as a new photo of the pop star kissing the NFL tight end's cheek surfaced after she attended Sunday's Kansas City Chiefs game.,Dating,,https://www.foxnews.com/entertainment/taylor-swift-kisses-travis-kelce-following-kansas-city-chiefs-game
Fox News,Tracy Wright,"Taylor Swift, Travis Kelce break NFL WAG curse: Jessica Simpson, Carrie Underwood once blamed for losses",Taylor Swift and Travis Kelce's new relationship fills the blank space that the NFL needs to recover from the alleged curse when Hollywood stars date football players.,Dating,,https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-break-nfl-wag-curse-jessica-simpson-carrie-underwood-once-blamed-losses
Fox Sports,,Travis Kelce says Taylor Swift's lyric change at Argentina concert 'shocked' him,"Taylor Swift referenced Travis Kelce in a song and embraced the Chiefs star during her ""Eras Tour"" international concert series.",Dating,,https://www.foxsports.com/stories/nfl/travis-kelce-says-taylor-swifts-lyric-change-at-argentina-concert-shocked-him
Fox Sports,,Travis Kelce reveals the Taylor Swift conversation that 'terrified' him,"Amid increasingly positive rumors around Travis Kelce and Taylor Swift's relationship, the tight end revealed there was one conversation the pop star had with a family member that ""terrified"" him.",Dating,,https://www.foxsports.com/stories/nfl/travis-kelce-reveals-the-taylor-swift-conversation-that-terrified-him
Fox Sports,Melissa Rohlin,"The Lakers, Clippers and a burner: Behind that fake Austin Reaves-Taylor Swift rumor",The origin of a false viral romance between Lakers guard Austin Reaves and pop superstar Taylor Swift is perhaps even more delicious than the star-studded rumor itself.,Dating,,https://www.foxsports.com/stories/nba/the-lakers-clippers-and-a-burner-behind-that-fake-austin-reaves-taylor-swift-rumor
Fox Sports,,Could Taylor Swift make it to K.C. for Kelce brothers' Super Bowl rematch?,Taylor Swift is currently touring on another continent. Could she make time to jet back to Kansas City for Travis Kelce's big game next week? Here's a breakdown.,Dating,,https://www.foxsports.com/stories/nfl/could-taylor-swift-make-it-to-k-c-for-kelce-brothers-super-bowl-rematch
Fox Sports,,Report: Taylor Swift hosted watch party for Chiefs significant others Sunday,Taylor Swift reportedly hosted a watch party to root on rumored boyfriend Travis Kelce as the Chiefs took on the Dolphins in Germany last Sunday.,Dating,,https://www.foxsports.com/stories/nfl/report-taylor-swift-hosted-watch-party-for-chiefs-significant-others-sunday
NBC News,Minyvonne Burke,Travis Kelce says he may have had 'a little bit of a clue' about Taylor Swift changing 'Karma' lyrics,"Kansas City Chiefs tight end Travis Kelce said he may have had ""a little bit of a clue"" that Taylor Swift would swap out the lyrics in her song ""Karma"" to reference their budding romance.",Dating,,https://www.nbcnews.com/pop-culture/pop-culture-news/travis-kelce-says-may-little-bit-clue-taylor-swift-changing-karma-lyri-rcna125278
NBC News,"Drew Weisholtz, TODAY",Patrick Mahomes says he’s worn the same pair of underwear every game since his first NFL season,Travis Kelce spent the Kansas City Chiefs’ bye week carousing through South America with Taylor Swift.,Dating,,https://www.nbcnews.com/news/us-news/patrick-mahomes-says-s-worn-pair-underwear-every-game-first-nfl-season-rcna125083
Newsweek,Thomas Westerholm,Andy Reid Loves Having Taylor Swift Around Travis Kelce and the Chiefs,"Chiefs coach Andy Reid wants Taylor Swift around the team ""all she wants"" as the relationship between Swift and star tight end Travis Kelce heats up.",Dating,,https://www.newsweek.com/chiefs-coach-andy-reid-loves-having-taylor-swift-around-travis-kelce-1836956
Newsweek,Billie Schwab Dunn,Photos of Travis Kelce and Taylor Swift's Incredible $6M Kansas Mansion,"Kelce's multi-million dollar purchase, which features six bedrooms, comes as his relationship with pop superstar Taylor Swift heats up.",Dating,,https://www.newsweek.com/travis-kelce-taylor-swift-kansas-mansion-photos-1841067
USA Today,Charles Curtis,Taylor Swift fans remix her Travis Kelce kiss into incredibly beautiful videos,These Taylor Swift and Travis Kelce remixes are the best.,Dating,,https://ftw.usatoday.com/2023/11/taylor-swift-travis-kelce-kiss-videos-remix-edit-tiktok
USA Today,Charles Curtis,Taylor Swift is officially a Chiefs fan thanks to the way she sings the national anthem,Taylor Swift is just like every Chiefs fan now.,Dating,,https://ftw.usatoday.com/2023/10/taylor-swift-chiefs-national-anthem-video
USA Today,Caroline Darney,11 photos of Taylor Swift going through all the emotions watching Travis Kelce at the Chiefs game,"Waving to fans, celebrating and more for Taylor Swift in her return to Arrowhead Stadium.",Dating,,https://ftw.usatoday.com/lists/taylor-swift-travis-kelce-photos-kansas-city-chiefs-los-angeles-chargers
USA Today,Charles Curtis,Taylor Swift fans think her smile during Labyrinth as she sang 'falling in love again' is all about Travis Kelce,Was Taylor Swift singing a message to Travis Kelce during the Eras Tour? Fans think so.,Dating,,https://ftw.usatoday.com/2023/11/taylor-swift-labryinth-travis-kelce-eras-tour-buenos-aires
USA Today,Caroline Darney,10 of Taylor Swift and Travis Kelce's most heartwarming moments from The Eras Tour in Argentina,Taylor Swift and Travis Kelce had the absolute best time Saturday night.,Dating,,https://ftw.usatoday.com/lists/taylor-swift-travis-kelce-heartwarming-moments-eras-tour-buenos-aires-argentina
USA Today,Charles Curtis,Taylor Swift fans think they've found Travis Kelce's plane that's headed to Argentina,Could this be Travis Kelce flying down to see Taylor Swift at the Eras Tour?,Dating,,https://ftw.usatoday.com/2023/11/travis-kelce-flight-taylor-swift-eras-tour-tracker-tiktok
Bleacher Report,Adam Wells,"Chiefs' Travis Kelce Files for 5 Trademarks for Use on Clothing, Cereal, More","The Travis Kelce business is booming, and the Kansas City Chiefs star is looking to take advantage of it. Per trademark attorney Josh Gerben, Kelce has filed…",Economy,,https://bleacherreport.com/articles/10095535-chiefs-travis-kelce-files-for-5-trademarks-for-use-on-clothing-cereal-more
Breitbart News,"David Ng, David Ng","'Funflation': Most Americans Cutting Back on Amusement Parks, Live Entertainment as Prices Soar Under Biden","Nearly 60 percent of Americans are cutting back on spending on live entertainment -- including amusement parks, rock concerts, and the performing arts -- as prices continue to soar through the roof, according to a new survey of 1,000 individuals conducted by …",Economy,,https://www.breitbart.com/entertainment/2023/10/21/funflation-most-americans-cutting-back-on-amusement-parks-live-entertainment-as-prices-soar-under-biden/
Business Insider,Theron Mohamed,"America is in a 'cardboard-box recession,' demand for services is cooling, and inflation could surge again, Charles Schwab's top global strategist says",Charles Schwab's Jeffrey Kleintop touched on everything from Taylor Swift and Beyoncé to the credit crunch squeezing small businesses.,Economy,,https://www.businessinsider.com/cardboard-box-recession-services-inflation-economy-outlook-charles-schwab-kleintop-2023-10
Business Insider,Matthew Fox,"A Taylor Swift song is the best investment advice for 2024, Goldman Sachs says",This isn't the first time Taylor Swift has occupied the head space of Wall Street forecasters and economists this year.,Economy,,https://markets.businessinsider.com/news/stocks/taylor-swift-song-best-2024-investment-advice-stock-market-outlook-2023-11
Business Insider,Kai Xiang Teo,"Splurging on Taylor Swift tickets and a 'funflation' economy is hitting Best Buy's sales, says its CEO","""'Funflation,' Taylor Swift… those experiences are really where people are willing to pay,"" said Corie Barry, the CEO of electronics retailer Best Buy.",Economy,,https://www.businessinsider.com/taylor-swift-tickets-funflation-hurting-best-buy-sales-ceo-2023-10
CBC News,,Vancouver hotels rooms already sold out for Taylor Swift's 2024 concert dates,"Vancouver is expecting an economic boon from Taylor Swift's 2024 concert dates, but Swifties are already finding hotel rooms sold out.",Economy,,https://www.cbc.ca/news/canada/british-columbia/taylor-swift-vancouver-hotels-1.7017810
CNN,Nicole Goodkind,Social Security gains came back to earth. What that means for the economy,Social Security benefits pump a large chunk of change into the US economy -- with about $1.4 trillion going to more than 67 million Americans last year alone.,Economy,,https://www.cnn.com/2023/10/16/investing/premarket-stocks-trading/index.html
Fortune,"Stan Choe, The Associated Press","Vivid Seats' 'geriatric millennial' CEO breaks down how he sees Gen Z's spending, 'FOMO-esque' events and his urge to see Guns 'N Roses","""We are now past any point of potential pent-up demand release,"" Stan Chia says. ""What we’re really into is secular trends of the industry.""",Economy,,https://fortune.com/2023/10/16/gen-z-spending-habits-vivid-seats-geriatric-millennial-ceo-stan-chia/
ABC News,HANNAH FINGERHUT Associated Press,Classes on celebrities like Taylor Swift and Rick Ross are engaging a new generation of law students,A South Dakota law professor who typically teaches torts and natural resources is turning his attention to Taylor Swift next semester,Education,,https://abcnews.go.com/US/wireStory/classes-celebrities-taylor-swift-rick-ross-engaging-new-104818965
ABC News,HANNAH FINGERHUT Associated Press,Classes on celebrities like Taylor Swift and Rick Ross are engaging a new generation of law students,A South Dakota law professor who typically teaches torts and natural resources is turning his attention to Taylor Swift next semester,Education,,https://abcnews.go.com/Entertainment/wireStory/classes-celebrities-taylor-swift-rick-ross-engaging-new-104818966
Business Insider,Dan Latu,"A Taylor Swift Airbnb is a bachelorette dream home where megafans can bask in her ""Eras"" for up to $1,400 a night","You can rent this Taylor Swift Airbnb in Scottsdale, Arizona. Each room is devoted to a different era, from ""Reputation"" to ""Lover"" to ""Folklore.""",Exhibition,,https://www.businessinsider.com/taylor-swift-airbnb-eras-1989-lover-reputation-folklore-evermore-2023-11
Newsweek,Tom Norton,Fact Check: Did Donald Trump Beat Taylor Swift In Pop Charts?,Donald Trump said his single beat Taylor Swift and Miley Cyrus in the charts. Here's what happened.,Fact Check,,https://www.newsweek.com/donald-trump-beats-taylor-swift-pop-charts-miley-cyrus-january6-1841252
Fox News,Sydney Borchers,Couple's viral 'Taylor Swift Jar' has wife paying a quarter whenever she mentions the star,"A Maryland realtor and her husband went viral after a ""Taylor Swift Jar"" was made. If someone mentions Swift or Travis Kelce, a quarter is required to be added to the jar.",Fandom,,https://www.foxnews.com/lifestyle/couples-viral-taylor-swift-jar-wife-paying-quarter-whenever-mentions-star
Fox News,Sydney Borchers,Young Taylor Swift fans go viral for struggling to open the star's CD: 'Making me laugh',"Three Taylor Swift fans, ages 11 and 12, go viral after a video of their struggles to open a CD grab over 2.7 million views — and even Swift herself responded.",Fandom,,https://www.foxnews.com/lifestyle/young-taylor-swift-fans-go-viral-struggling-open-stars-cd-making-me-laugh
Time,TIME Staff,The Families of Israelis Held Hostage by Hamas Speak Out,"The families of those held by Hamas in Gaza tell of trauma, fear, and the search for hope.",Fandom,,https://time.com/6324741/israel-hostages/
USA Today,Charles Curtis,Taylor Swift fan on TikTok wildly breaks down her and Travis Kelce's day-by-day schedule for the rest of 2023,This is some amazing stuff from a Taylor Swift fan.,Fandom,,https://ftw.usatoday.com/2023/11/taylor-swift-travis-kelce-schedule-tiktok-video
